epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7235,2.09442,3.10462,2.19459,0.00744,0.69048,0.02341,0.00751,1.63631,3.3334,2.22202,4e-05,4e-05,4e-05
2,40.8916,1.71301,3.01237,1.87265,0.00795,0.7381,0.12481,0.06836,1.34856,3.12912,1.84098,9.802e-05,9.802e-05,9.802e-05
3,53.3742,1.27578,2.7202,1.52472,0.00846,0.78571,0.2844,0.18038,1.18643,2.95093,1.68276,0.000153664,0.000153664,0.000153664
4,62.6521,1.19336,2.45583,1.47089,0.00966,0.89683,0.31326,0.19853,1.12509,2.87012,1.49523,0.000206932,0.000206932,0.000206932
5,77.4389,1.19507,2.10675,1.41,0.00966,0.89683,0.38173,0.24113,1.12253,2.74749,1.47136,0.000257824,0.000257824,0.000257824
6,106.168,1.11415,1.82156,1.35275,0.62995,0.33333,0.41099,0.25023,1.21,2.67706,1.67331,0.00030634,0.00030634,0.00030634
