epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,172.992,0.90293,1.24876,1.22333,0.73138,0.91667,0.795,0.61608,1.02774,1.40442,1.41067,0.000703961,0.000703961,0.000703961
43,175.933,0.91892,1.27302,1.26553,0.73138,0.91667,0.795,0.61608,1.02774,1.40442,1.41067,0.000686277,0.000686277,0.000686277
44,179.524,0.8622,1.2714,1.21645,0.72065,0.91169,0.78833,0.59383,1.01427,1.45671,1.39991,0.000668593,0.000668593,0.000668593
45,182.913,0.89837,1.2734,1.24442,0.70546,0.91667,0.78833,0.56708,1.05067,1.52132,1.40933,0.000650909,0.000650909,0.000650909
46,186.246,0.86479,1.21853,1.22069,0.7446,0.97051,0.8056,0.57299,1.04699,1.48372,1.41754,0.000633226,0.000633226,0.000633226
47,189.242,0.89582,1.26541,1.20205,0.7446,0.97051,0.8056,0.57299,1.04699,1.48372,1.41754,0.000615542,0.000615542,0.000615542
48,192.572,0.88378,1.22437,1.22764,0.71053,0.91667,0.795,0.5645,1.06621,1.47276,1.42633,0.000597858,0.000597858,0.000597858
49,195.742,0.88959,1.23666,1.20708,0.73242,0.91667,0.78833,0.5527,1.08221,1.41966,1.42674,0.000580174,0.000580174,0.000580174
50,199.023,0.90415,1.20118,1.24151,0.71508,0.91667,0.795,0.55349,1.02299,1.35821,1.4118,0.00056249,0.00056249,0.00056249
51,201.936,0.87717,1.22354,1.17575,0.71508,0.91667,0.795,0.55349,1.02299,1.35821,1.4118,0.000544806,0.000544806,0.000544806
52,205.346,0.87486,1.2124,1.18443,0.75266,0.99117,0.8056,0.57042,1.04059,1.41112,1.44055,0.000527122,0.000527122,0.000527122
53,208.47,0.88749,1.16487,1.22768,0.6406,0.98065,0.78833,0.55079,1.01553,1.4365,1.3859,0.000509438,0.000509438,0.000509438
54,211.673,0.82033,1.16933,1.16766,0.61701,0.96124,0.783,0.58945,0.98558,1.43697,1.34691,0.000491755,0.000491755,0.000491755
55,214.853,0.9349,1.24357,1.26885,0.61701,0.96124,0.783,0.58945,0.98558,1.43697,1.34691,0.000474071,0.000474071,0.000474071
56,218.333,0.8394,1.38704,1.26164,0.61273,0.83849,0.85442,0.7196,0.97193,1.3939,1.29081,0.000456387,0.000456387,0.000456387
57,221.639,0.87221,1.30365,1.20701,0.82606,0.66667,0.79132,0.66798,1.03403,1.36702,1.29799,0.000438703,0.000438703,0.000438703
